Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00001.fits	0	60195.41076166695	2460195.410761667	NaN	NaN	0	1.14635	NaN	-10.3	40	NaN	NaN	4072775.309577482	1464.9500404503199	33191	20.33160621761658	4053	365924.86776118976	192.3686680333223	4530	16.5	3868
r_pp_light_00002.fits	0	60195.411306770984	2460195.411306771	NaN	NaN	0	1.146534	NaN	-10.2	40	NaN	NaN	4129728.192329104	1479.0859024613105	33450	19.348831364664488	3979	368562.36538455036	193.63785820860173	4858	15.500260824204487	3834
r_pp_light_00003.fits	0	60195.41185135441	2460195.4118513544	NaN	NaN	0	1.146725	NaN	-10.3	40	NaN	NaN	4197469.573476598	1495.9191540277163	32857	19.99771283354511	3935	371884.14361363015	195.46167849385412	4692	18.4180266131057	3983
r_pp_light_00004.fits	0	60195.412396990694	2460195.4123969907	NaN	NaN	0	1.146919	NaN	-10.3	40	NaN	NaN	4090226.839311462	1468.958891968528	33403	19.369339741968126	3953	370405.32025251107	194.78705295872925	4970	17.250683909475256	4021
r_pp_light_00005.fits	0	60195.412941712886	2460195.412941713	NaN	NaN	0	1.147114	NaN	-10.2	40	NaN	NaN	3982901.7213577586	1441.4504144899802	33083	16.883614088820828	3918	373972.47818135243	195.88330648170898	5274	11.804815864022663	3530
r_pp_light_00006.fits	0	60195.41348623857	2460195.4134862386	NaN	NaN	0	1.147313	NaN	-10.2	40	NaN	NaN	4267716.025897351	1514.2393500196506	33617	18.79106663412253	4097	372135.41814198287	195.7295252769883	4301	16.016176470588235	4080
r_pp_light_00007.fits	0	60195.41403105343	2460195.4140310534	NaN	NaN	0	1.147512	NaN	-10.2	40	NaN	NaN	4083963.2861716435	1467.9655647440115	34469	20.175018332925934	4091	374926.37264745566	197.05381510003645	4680	17.048762376237622	4040
r_pp_light_00008.fits	0	60195.41457559029	2460195.4145755903	NaN	NaN	0	1.147715	NaN	-10.3	40	NaN	NaN	4161311.5372971524	1487.3280942312128	33737	19.602078693392723	4041	373320.82129404135	196.24778649646615	4178	16.932522947159512	4031
r_pp_light_00009.fits	0	60195.41512115765	2460195.4151211577	NaN	NaN	0	1.147922	NaN	-10.3	40	NaN	NaN	4132196.018452715	1479.9281794473795	34065	18.54102436598707	4022	374694.9113038599	196.8563712907579	4822	16.045843828715366	3970
r_pp_light_00010.fits	0	60195.41566574108	2460195.415665741	NaN	NaN	0	1.148128	NaN	-10.2	40	NaN	NaN	4118328.5619185637	1476.0572485084163	34057	18.92851711026616	3945	372139.4313966366	195.5856208801573	4790	15.829255989911728	3965
r_pp_light_00011.fits	0	60195.41620954871	2460195.4162095487	NaN	NaN	0	1.148339	NaN	-10.3	40	NaN	NaN	4037551.344201973	1456.206512558774	33910	20.340881421962504	4107	375465.7246725703	197.27870183300237	5378	16.849475786320518	4006
r_pp_light_00012.fits	0	60195.416753321886	2460195.416753322	NaN	NaN	0	1.148553	NaN	-10.3	40	NaN	NaN	4212397.372695406	1500.1166124824917	34739	19.166294365847605	4029	371463.3074566298	195.29729897734833	4610	17.44078783345799	4011
r_pp_light_00013.fits	0	60195.417298657354	2460195.4172986574	NaN	NaN	0	1.148773	NaN	-10.2	40	NaN	NaN	4017581.009736687	1450.5147220212489	34906	22.52770117824016	3989	373721.9114202925	196.39038768798528	4890	17.314285714285713	3990
r_pp_light_00014.fits	0	60195.41784371529	2460195.4178437153	NaN	NaN	0	1.14899	NaN	-10.2	40	NaN	NaN	4011204.516097514	1449.2129924730953	33782	19.731273176761434	4045	373945.116590385	196.44210960452125	5158	17.239290240811155	3945
r_pp_light_00015.fits	0	60195.41838800954	2460195.4183880095	NaN	NaN	0	1.14921	NaN	-10.2	40	NaN	NaN	3770180.4818548206	1386.6594968316597	35183	20.003937007874015	4064	378810.5076788436	198.7823773406583	5961	16.113139624582153	3889
