Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00464.fits	0	60212.59204483824	2460212.5920448382	NaN	NaN	0	1.450801	NaN	-10.4	40	NaN	NaN	4470596.607846129	36317	55.908938313050776	2383
r_pp_light_00465.fits	0	60212.592589803506	2460212.5925898035	NaN	NaN	0	1.452036	NaN	-10.4	40	NaN	NaN	4815964.480703977	36885	56.50372208436725	2418
r_pp_light_00466.fits	0	60212.593134143855	2460212.593134144	NaN	NaN	0	1.453242	NaN	-10.5	40	NaN	NaN	4495527.880556787	38593	56.10471854304636	2416
r_pp_light_00467.fits	0	60212.59367864579	2460212.593678646	NaN	NaN	0	1.45445	NaN	-10.5	40	NaN	NaN	4204084.716373214	39249	53.55699373695198	2395
r_pp_light_00468.fits	0	60212.59422331024	2460212.5942233102	NaN	NaN	0	1.455686	NaN	-10.5	40	NaN	NaN	4501426.9091501	40647	55.41401530406766	2483
r_pp_light_00469.fits	0	60212.59476770833	2460212.5947677083	NaN	NaN	0	1.456897	NaN	-10.4	40	NaN	NaN	4847257.696251746	37242	54.60901639344262	2440
r_pp_light_00470.fits	0	60212.59531247709	2460212.595312477	NaN	NaN	0	1.458116	NaN	-10.5	40	NaN	NaN	4838101.218790115	36951	54.61347664324101	2419
r_pp_light_00471.fits	0	60212.595858125016	2460212.595858125	NaN	NaN	0	1.459359	NaN	-10.5	40	NaN	NaN	4586314.594423153	39248	56.03341584158416	2424
r_pp_light_00472.fits	0	60212.59640292823	2460212.5964029282	NaN	NaN	0	1.460576	NaN	-10.4	40	NaN	NaN	4286351.743730391	41339	56.38480697384807	2409
r_pp_light_00473.fits	0	60212.59694703715	2460212.596947037	NaN	NaN	0	1.461816	NaN	-10.5	40	NaN	NaN	4325934.902516163	39911	55.92848180677541	2391
r_pp_light_00474.fits	0	60212.59749127319	2460212.597491273	NaN	NaN	0	1.46304	NaN	-10.5	40	NaN	NaN	4604756.057714781	39531	56.96018062397373	2436
r_pp_light_00475.fits	0	60212.59803565964	2460212.5980356596	NaN	NaN	0	1.464286	NaN	-10.4	40	NaN	NaN	4096037.566899037	40346	56.40321252059308	2428
r_pp_light_00476.fits	0	60212.5985800582	2460212.598580058	NaN	NaN	0	1.465508	NaN	-10.4	40	NaN	NaN	4074024.2926658737	38822	56.8831544178365	2422
r_pp_light_00477.fits	0	60212.59912394686	2460212.599123947	NaN	NaN	0	1.466756	NaN	-10.5	40	NaN	NaN	4350962.443470321	40110	55.01470588235294	2448
r_pp_light_00478.fits	0	60212.599669236224	2460212.599669236	NaN	NaN	0	1.467983	NaN	-10.5	40	NaN	NaN	4257594.910482767	38565	56.00041067761807	2435
r_pp_light_00479.fits	0	60212.60021376191	2460212.600213762	NaN	NaN	0	1.469212	NaN	-10.4	40	NaN	NaN	4114596.740049243	39894	55.08336789713812	2411
r_pp_light_00480.fits	0	60212.600758136716	2460212.6007581367	NaN	NaN	0	1.470439	NaN	-10.5	40	NaN	NaN	4324958.180701561	40174	58.10526315789474	2489
r_pp_light_00481.fits	0	60212.60130384285	2460212.601303843	NaN	NaN	0	1.471698	NaN	-10.5	40	NaN	NaN	4096305.7405424784	39979	57.6360294117647	2448
r_pp_light_00482.fits	0	60212.60184836807	2460212.601848368	NaN	NaN	0	1.472928	NaN	-10.5	40	NaN	NaN	3819381.2328262026	42080	56.506208609271525	2416
r_pp_light_00483.fits	0	60212.60239181714	2460212.602391817	NaN	NaN	0	1.474184	NaN	-10.4	40	NaN	NaN	3962105.5553828757	41912	54.15133171912833	2478
r_pp_light_00484.fits	0	60212.602936180774	2460212.602936181	NaN	NaN	0	1.47542	NaN	-10.4	40	NaN	NaN	3979818.889016759	40232	55.04899959167007	2449
r_pp_light_00485.fits	0	60212.60347980354	2460212.6034798035	NaN	NaN	0	1.476676	NaN	-10.5	40	NaN	NaN	4045366.282082357	38999	58.15154038301416	2402
r_pp_light_00486.fits	0	60212.60402409732	2460212.6040240973	NaN	NaN	0	1.477915	NaN	-10.4	40	NaN	NaN	3963698.3091316307	39235	55.94954507857734	2418
r_pp_light_00487.fits	0	60212.60456758132	2460212.6045675813	NaN	NaN	0	1.47915	NaN	-10.5	40	NaN	NaN	4108759.430957063	40504	57.454283360790775	2428
r_pp_light_00488.fits	0	60212.60511178244	2460212.6051117824	NaN	NaN	0	1.480414	NaN	-10.5	40	NaN	NaN	4159564.8438007487	41155	57.04132231404959	2420
r_pp_light_00489.fits	0	60212.605655775405	2460212.6056557754	NaN	NaN	0	1.481653	NaN	-10.5	40	NaN	NaN	3999523.7231795527	39963	56.10151006711409	2384
r_pp_light_00490.fits	0	60212.60620053252	2460212.6062005325	NaN	NaN	0	1.482894	NaN	-10.4	40	NaN	NaN	4048024.115609422	40982	56.54114189756507	2382
r_pp_light_00491.fits	0	60212.606746227015	2460212.606746227	NaN	NaN	0	1.484166	NaN	-10.4	40	NaN	NaN	4263961.288362225	39716	56.52955974842767	2385
r_pp_light_00492.fits	0	60212.60729082208	2460212.607290822	NaN	NaN	0	1.485414	NaN	-10.4	40	NaN	NaN	4167330.5932562	39004	57.05515485787017	2357
r_pp_light_00493.fits	0	60212.607834745664	2460212.6078347457	NaN	NaN	0	1.486654	NaN	-10.4	40	NaN	NaN	4244495.583632414	39215	56.108695652173914	2438
r_pp_light_00494.fits	0	60212.60837979196	2460212.608379792	NaN	NaN	0	1.487932	NaN	-10.5	40	NaN	NaN	4174387.2761089993	39026	55.0071488645921	2378
r_pp_light_00495.fits	0	60212.60892479168	2460212.6089247917	NaN	NaN	0	1.489211	NaN	-10.5	40	NaN	NaN	4069245.7990232236	39136	56.82658227848101	2370
r_pp_light_00496.fits	0	60212.60946908593	2460212.609469086	NaN	NaN	0	1.490456	NaN	-10.5	40	NaN	NaN	4165807.564708011	39458	55.920719248058845	2447
r_pp_light_00497.fits	0	60212.610012847465	2460212.6100128475	NaN	NaN	0	1.491734	NaN	-10.5	40	NaN	NaN	3950776.9458108293	38694	56.468032786885246	2440
r_pp_light_00498.fits	0	60212.61055815965	2460212.6105581596	NaN	NaN	0	1.492984	NaN	-10.5	40	NaN	NaN	4371746.898102698	36984	55.90753138075314	2390
r_pp_light_00499.fits	0	60212.61110266205	2460212.611102662	NaN	NaN	0	1.494239	NaN	-10.5	40	NaN	NaN	3986704.497567488	42282	56.438545150501675	2392
r_pp_light_00500.fits	0	60212.6116470024	2460212.6116470024	NaN	NaN	0	1.495519	NaN	-10.5	40	NaN	NaN	4513129.617302447	39725	57.57627811860941	2445
r_pp_light_00501.fits	0	60212.61219347222	2460212.612193472	NaN	NaN	0	1.496782	NaN	-10.4	40	NaN	NaN	4704191.028913625	38319	56.57028281975517	2369
r_pp_light_00502.fits	0	60212.61273785913	2460212.612737859	NaN	NaN	0	1.498034	NaN	-10.4	40	NaN	NaN	4400957.159440149	40388	57.06839336301093	2471
r_pp_light_00503.fits	0	60212.613282905426	2460212.6132829054	NaN	NaN	0	1.499323	NaN	-10.5	40	NaN	NaN	4321843.563999725	37261	57.535055350553506	2439
r_pp_light_00504.fits	0	60212.613827488385	2460212.6138274884	NaN	NaN	0	1.500581	NaN	-10.5	40	NaN	NaN	4432498.98891657	36931	57.972794723825224	2426
r_pp_light_00505.fits	0	60212.6143715973	2460212.6143715973	NaN	NaN	0	1.501839	NaN	-10.5	40	NaN	NaN	4408230.951586158	38624	57.141889030072	2361
r_pp_light_00506.fits	0	60212.6149158217	2460212.6149158217	NaN	NaN	0	1.503126	NaN	-10.4	40	NaN	NaN	4551660.543133429	40255	56.54583861427968	2367
r_pp_light_00507.fits	0	60212.61545993062	2460212.6154599306	NaN	NaN	0	1.504386	NaN	-10.5	40	NaN	NaN	4338699.628826535	40103	55.96678023850085	2348
r_pp_light_00508.fits	0	60212.61600535875	2460212.6160053588	NaN	NaN	0	1.50565	NaN	-10.5	40	NaN	NaN	4453382.353868854	37992	57.406976744186046	2408
r_pp_light_00509.fits	0	60212.61654883111	2460212.616548831	NaN	NaN	0	1.506938	NaN	-10.5	40	NaN	NaN	4506346.902617619	36647	57.01297122010539	2467
r_pp_light_00510.fits	0	60212.61709327577	2460212.6170932758	NaN	NaN	0	1.508203	NaN	-10.5	40	NaN	NaN	4712591.896789813	37157	55.98054635761589	2416
r_pp_light_00511.fits	0	60212.61763923615	2460212.617639236	NaN	NaN	0	1.509471	NaN	-10.5	40	NaN	NaN	4669336.514644726	38786	59.295548227535036	2426
