Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00075.fits	0	60224.45954479184	2460224.459544792	NaN	NaN	0	1.262448	NaN	-10.3	40	NaN	NaN	4015602.7635461995	37518	35.52853492333901	2348
r_pp_light_00076.fits	0	60224.46008848399	2460224.460088484	NaN	NaN	0	1.263233	NaN	-10.4	40	NaN	NaN	4117502.5974661256	38258	34.43481882548938	2401
r_pp_light_00077.fits	0	60224.4606318865	2460224.4606318865	NaN	NaN	0	1.264037	NaN	-10.4	40	NaN	NaN	3957454.1796741793	38955	35.05403192795743	2443
r_pp_light_00078.fits	0	60224.46117692161	2460224.4611769216	NaN	NaN	0	1.264847	NaN	-10.4	40	NaN	NaN	3972445.6787504004	39312	33.623000432338955	2313
r_pp_light_00079.fits	0	60224.461721041705	2460224.4617210417	NaN	NaN	0	1.265657	NaN	-10.4	40	NaN	NaN	4008015.228899475	41088	34.87827868852459	2440
r_pp_light_00080.fits	0	60224.46226460673	2460224.4622646067	NaN	NaN	0	1.266469	NaN	-10.3	40	NaN	NaN	3922529.611804734	38241	35.86798114016288	2333
r_pp_light_00081.fits	0	60224.46280831052	2460224.4628083105	NaN	NaN	0	1.267266	NaN	-10.4	40	NaN	NaN	3871333.097963807	35981	33.96635589785164	2467
r_pp_light_00082.fits	0	60224.46335339127	2460224.4633533913	NaN	NaN	0	1.268086	NaN	-10.4	40	NaN	NaN	3878158.5214971295	39914	33.97188581314879	2312
r_pp_light_00083.fits	0	60224.4638971067	2460224.4638971067	NaN	NaN	0	1.268907	NaN	-10.4	40	NaN	NaN	3916299.801882256	36548	36.8626878130217	2396
r_pp_light_00084.fits	0	60224.46444076393	2460224.464440764	NaN	NaN	0	1.26973	NaN	-10.4	40	NaN	NaN	3867921.2255445044	39884	34.38511466897447	2311
r_pp_light_00085.fits	0	60224.464984872844	2460224.464984873	NaN	NaN	0	1.270555	NaN	-10.4	40	NaN	NaN	3600272.3453174816	38480	35.96840307429547	2342
r_pp_light_00086.fits	0	60224.46552854171	2460224.4655285417	NaN	NaN	0	1.271366	NaN	-10.3	40	NaN	NaN	3684845.619832463	35672	35.58000858000858	2331
r_pp_light_00087.fits	0	60224.466072650626	2460224.4660726506	NaN	NaN	0	1.272197	NaN	-10.4	40	NaN	NaN	3826825.891412607	35348	35.77903930131004	2290
r_pp_light_00088.fits	0	60224.466618159786	2460224.46661816	NaN	NaN	0	1.273033	NaN	-10.4	40	NaN	NaN	3402949.652189858	37343	34.99580008399832	2381
r_pp_light_00089.fits	0	60224.46716184029	2460224.4671618403	NaN	NaN	0	1.273869	NaN	-10.4	40	NaN	NaN	3594758.0379758882	33974	36.888463175819496	2349
r_pp_light_00090.fits	0	60224.46770476876	2460224.4677047688	NaN	NaN	0	1.274689	NaN	-10.4	40	NaN	NaN	3536033.2988905637	35873	37.05220017256256	2318
r_pp_light_00091.fits	0	60224.46824879665	2460224.4682487966	NaN	NaN	0	1.27553	NaN	-10.4	40	NaN	NaN	3248910.946047023	37388	36.495104299702	2349
r_pp_light_00092.fits	0	60224.468792465515	2460224.4687924655	NaN	NaN	0	1.276374	NaN	-10.4	40	NaN	NaN	3244360.3035456613	35806	35.902197328737614	2321
r_pp_light_00093.fits	0	60224.46933677094	2460224.469336771	NaN	NaN	0	1.277221	NaN	-10.4	40	NaN	NaN	3178890.712244158	38847	35.542652027027025	2368
r_pp_light_00094.fits	0	60224.46988057904	2460224.469880579	NaN	NaN	0	1.278053	NaN	-10.4	40	NaN	NaN	3620011.129158393	36644	38.12315056570931	2298
r_pp_light_00095.fits	0	60224.47042468749	2460224.4704246875	NaN	NaN	0	1.278904	NaN	-10.4	40	NaN	NaN	3667717.6328066187	36340	36.49647449191207	2411
r_pp_light_00096.fits	0	60224.470968414564	2460224.4709684146	NaN	NaN	0	1.279758	NaN	-10.4	40	NaN	NaN	3500880.8687306065	38851	38.15387931034483	2320
r_pp_light_00097.fits	0	60224.47151215281	2460224.471512153	NaN	NaN	0	1.280614	NaN	-10.4	40	NaN	NaN	3877480.7121043103	37173	37.027848101265825	2370
r_pp_light_00098.fits	0	60224.47205690993	2460224.47205691	NaN	NaN	0	1.281457	NaN	-10.4	40	NaN	NaN	3760106.2664300716	36729	36.964676198486124	2378
r_pp_light_00099.fits	0	60224.47260071756	2460224.4726007176	NaN	NaN	0	1.282319	NaN	-10.4	40	NaN	NaN	3415161.8578418344	37384	35.99326599326599	2376
r_pp_light_00100.fits	0	60224.47314437525	2460224.4731443753	NaN	NaN	0	1.283183	NaN	-10.4	40	NaN	NaN	3331221.440478654	35803	37.3649449618967	2362
r_pp_light_00101.fits	0	60224.47368857637	2460224.4736885764	NaN	NaN	0	1.284051	NaN	-10.4	40	NaN	NaN	3379773.4990783306	34929	38.97608881298036	2342
r_pp_light_00102.fits	0	60224.47423237283	2460224.474232373	NaN	NaN	0	1.284902	NaN	-10.4	40	NaN	NaN	3228716.2164455797	35396	37.898538622129436	2395
r_pp_light_00103.fits	0	60224.47477570595	2460224.474775706	NaN	NaN	0	1.285774	NaN	-10.3	40	NaN	NaN	3549856.2489928436	35645	37.83177570093458	2354
r_pp_light_00104.fits	0	60224.47531936364	2460224.4753193636	NaN	NaN	0	1.286647	NaN	-10.4	40	NaN	NaN	3644765.1111810426	35761	35.493393889347644	2422
r_pp_light_00105.fits	0	60224.47586302087	2460224.475863021	NaN	NaN	0	1.287526	NaN	-10.4	40	NaN	NaN	3594257.613174691	36017	36.79547395388557	2342
r_pp_light_00106.fits	0	60224.476407940034	2460224.47640794	NaN	NaN	0	1.288387	NaN	-10.4	40	NaN	NaN	3373034.0334750875	38608	35.02326583369237	2321
r_pp_light_00107.fits	0	60224.476951967925	2460224.476951968	NaN	NaN	0	1.28927	NaN	-10.3	40	NaN	NaN	3519742.1978052314	37786	34.96953696181966	2462
r_pp_light_00108.fits	0	60224.477497372776	2460224.477497373	NaN	NaN	0	1.290158	NaN	-10.3	40	NaN	NaN	3779894.007169214	35788	37.92630241423126	2361
r_pp_light_00109.fits	0	60224.47804141231	2460224.4780414123	NaN	NaN	0	1.291027	NaN	-10.3	40	NaN	NaN	3469062.1379164276	36463	35.827659574468086	2350
r_pp_light_00110.fits	0	60224.4785851161	2460224.478585116	NaN	NaN	0	1.291917	NaN	-10.4	40	NaN	NaN	3414659.8543206193	36532	35.98574423480084	2385
r_pp_light_00111.fits	0	60224.479128773324	2460224.4791287733	NaN	NaN	0	1.292809	NaN	-10.4	40	NaN	NaN	3522402.2560424283	39015	37.59028960817717	2348
r_pp_light_00112.fits	0	60224.47967292834	2460224.4796729283	NaN	NaN	0	1.293705	NaN	-10.4	40	NaN	NaN	3431268.523528467	37764	37.898783666377064	2302
r_pp_light_00113.fits	0	60224.48021716438	2460224.4802171644	NaN	NaN	0	1.294584	NaN	-10.4	40	NaN	NaN	3282255.384901297	38103	36.86875	2400
r_pp_light_00114.fits	0	60224.4807613194	2460224.4807613194	NaN	NaN	0	1.295484	NaN	-10.4	40	NaN	NaN	3623992.804252915	37336	35.852953676158094	2353
r_pp_light_00115.fits	0	60224.48130467627	2460224.4813046763	NaN	NaN	0	1.296387	NaN	-10.3	40	NaN	NaN	3660682.934617524	35765	36.04296875	2304
r_pp_light_00116.fits	0	60224.48184831021	2460224.48184831	NaN	NaN	0	1.297292	NaN	-10.4	40	NaN	NaN	3714731.75587978	36248	37.06287683031869	2322
r_pp_light_00117.fits	0	60224.48239155114	2460224.482391551	NaN	NaN	0	1.298179	NaN	-10.4	40	NaN	NaN	3483806.2516146363	34911	36.91695059625213	2348
r_pp_light_00118.fits	0	60224.482936354354	2460224.4829363544	NaN	NaN	0	1.299092	NaN	-10.4	40	NaN	NaN	3222610.6233182955	38001	36.48661693725318	2279
