Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00338.fits	0	60224.602563032415	2460224.6025630324	NaN	NaN	0	1.547844	NaN	-10.4	40	NaN	NaN	3990058.86081128	38975	55.633315593400745	1879	415737.94725055865	10319	37.44028340080972	1976
r_pp_light_00339.fits	0	60224.6031065858	2460224.603106586	NaN	NaN	0	1.549116	NaN	-10.4	40	NaN	NaN	4114291.445448969	36237	52.531859557867364	2307	415468.13870849984	10281	37.9223343571742	2279
r_pp_light_00340.fits	0	60224.60365033569	2460224.6036503357	NaN	NaN	0	1.550389	NaN	-10.4	40	NaN	NaN	3825374.769806592	38565	54.68387776606955	1898	413534.53770933	11686	37.04749612803304	1937
r_pp_light_00341.fits	0	60224.604193796404	2460224.6041937964	NaN	NaN	0	1.551684	NaN	-10.4	40	NaN	NaN	3576030.9991590297	39876	56.48924180327869	1952	415818.18911287584	13530	36.923474663909	1934
r_pp_light_00342.fits	0	60224.604738947004	2460224.604738947	NaN	NaN	0	1.552967	NaN	-10.4	40	NaN	NaN	3840801.5369672384	39253	55.97790868924889	2037	412375.101799113	10781	37.14546402502607	1918
r_pp_light_00343.fits	0	60224.60528246546	2460224.6052824655	NaN	NaN	0	1.554235	NaN	-10.4	40	NaN	NaN	4319581.165495394	37028	51.37149220489978	2245	411595.8478612769	8200	35.02323580034423	2324
r_pp_light_00344.fits	0	60224.60582613433	2460224.6058261343	NaN	NaN	0	1.555537	NaN	-10.4	40	NaN	NaN	4179744.577388147	34849	53.8746964545896	2059	412968.98171991063	8646	36.95040534096328	2097
r_pp_light_00345.fits	0	60224.60636973381	2460224.606369734	NaN	NaN	0	1.556812	NaN	-10.4	40	NaN	NaN	3768604.916211651	39816	53.765770423991725	1934	412078.41522739676	11284	35.98126582278481	1975
r_pp_light_00346.fits	0	60224.60691349534	2460224.6069134953	NaN	NaN	0	1.558082	NaN	-10.4	40	NaN	NaN	3391082.301476196	37770	57.781017369727046	1612	410719.1318598634	13868	37.63477173233271	1599
r_pp_light_00347.fits	0	60224.6074569677	2460224.6074569677	NaN	NaN	0	1.559356	NaN	-10.4	40	NaN	NaN	3320683.0861473973	41275	57.54850982878884	1577	413152.00462033175	13830	37.645933014354064	1672
r_pp_light_00348.fits	0	60224.60800254624	2460224.6080025462	NaN	NaN	0	1.560659	NaN	-10.4	40	NaN	NaN	3357931.376335342	41044	59.8234552332913	1586	410908.7277948605	14626	38.46612296110414	1594
r_pp_light_00349.fits	0	60224.60854549799	2460224.608545498	NaN	NaN	0	1.561933	NaN	-10.4	40	NaN	NaN	3353921.430336914	40646	58.8014705882353	1632	413559.9257950462	14349	38.34076827757125	1614
r_pp_light_00350.fits	0	60224.60908921296	2460224.609089213	NaN	NaN	0	1.563214	NaN	-10.4	40	NaN	NaN	3829936.600737812	39254	53.263938618925835	1955	415570.2532301913	12085	35.835455934793686	1963
r_pp_light_00351.fits	0	60224.60963283572	2460224.6096328357	NaN	NaN	0	1.564513	NaN	-10.4	40	NaN	NaN	3636995.2084539426	38757	54.569773565034225	1899	412683.9121437807	13186	37.466297786720325	1988
r_pp_light_00352.fits	0	60224.610176539514	2460224.6101765395	NaN	NaN	0	1.565789	NaN	-10.4	40	NaN	NaN	3663440.738452817	39366	55.07898812596799	1937	409859.06748952484	11282	38.921457905544145	1948
r_pp_light_00353.fits	0	60224.6107200929	2460224.610720093	NaN	NaN	0	1.567093	NaN	-10.4	40	NaN	NaN	3366262.682691708	40406	56	1985	411962.4983766166	14511	37.45715806279936	1879
r_pp_light_00354.fits	0	60224.611263935454	2460224.6112639355	NaN	NaN	0	1.568371	NaN	-10.4	40	NaN	NaN	3556316.0458484255	36953	54.397645854657114	1954	408843.18220681424	12690	36.537375849451124	1913
r_pp_light_00355.fits	0	60224.61180777801	2460224.611807778	NaN	NaN	0	1.569648	NaN	-10.4	40	NaN	NaN	3732615.921499701	38049	54.99013698630137	1825	405594.67968959524	10039	37.99472016895459	1894
r_pp_light_00356.fits	0	60224.612351539545	2460224.6123515395	NaN	NaN	0	1.570925	NaN	-10.4	40	NaN	NaN	4073321.712209532	36757	53.49161290322581	2325	408243.7841903091	9174	39.61372464393612	2317
r_pp_light_00357.fits	0	60224.61289537046	2460224.6128953705	NaN	NaN	0	1.572225	NaN	-10.4	40	NaN	NaN	4197139.325596573	36333	51.928112965340176	2337	403542.55814623565	8221	37.88237847222222	2304
r_pp_light_00358.fits	0	60224.61344097229	2460224.6134409723	NaN	NaN	0	1.573507	NaN	-10.4	40	NaN	NaN	4249958.366277936	35304	51.30497382198953	2292	404652.6312794226	7824	37.3898916967509	2216
r_pp_light_00359.fits	0	60224.61398454895	2460224.613984549	NaN	NaN	0	1.574784	NaN	-10.4	40	NaN	NaN	4101402.1067175623	37399	50.75875656742557	2284	409066.1535527101	8154	37.559660297239915	2355
r_pp_light_00360.fits	0	60224.61452875007	2460224.61452875	NaN	NaN	0	1.576057	NaN	-10.4	40	NaN	NaN	4104818.4846529467	36900	49.56665160415725	2213	409662.2734840318	8136	37.559704732957016	2303
r_pp_light_00361.fits	0	60224.61507224571	2460224.6150722457	NaN	NaN	0	1.577362	NaN	-10.4	40	NaN	NaN	3767771.0938821095	38469	54.493813878429265	1859	412016.3011596519	10368	37.52554027504912	2036
r_pp_light_00362.fits	0	60224.61561717605	2460224.615617176	NaN	NaN	0	1.578636	NaN	-10.4	40	NaN	NaN	3898182.517618285	39035	51.85339506172839	1944	411376.920295845	9648	34.583983359334376	1923
r_pp_light_00363.fits	0	60224.61616083328	2460224.6161608333	NaN	NaN	0	1.579935	NaN	-10.4	40	NaN	NaN	3497842.4607127453	40952	58.9775212636695	1646	409230.9545489891	12245	38.81280487804878	1640
r_pp_light_00364.fits	0	60224.61670456035	2460224.6167045604	NaN	NaN	0	1.581213	NaN	-10.4	40	NaN	NaN	3439010.0167302364	40252	57.66728855721393	1608	409963.34205082833	12340	37.376875	1600
r_pp_light_00365.fits	0	60224.61724840291	2460224.617248403	NaN	NaN	0	1.58249	NaN	-10.4	40	NaN	NaN	3432832.4984811055	38589	58.204384268214056	1551	408962.3830646367	14101	37.08892921960073	1653
r_pp_light_00366.fits	0	60224.61779204896	2460224.617792049	NaN	NaN	0	1.583789	NaN	-10.3	40	NaN	NaN	3737967.294505597	39398	53.95031055900621	1932	408259.4711122989	10888	37.5	1950
r_pp_light_00367.fits	0	60224.61833555577	2460224.618335556	NaN	NaN	0	1.585066	NaN	-10.4	40	NaN	NaN	3713267.6774841337	38338	55.41113381001021	1958	409566.376239903	10052	38.43107104984093	1886
r_pp_light_00368.fits	0	60224.618880069815	2460224.61888007	NaN	NaN	0	1.586345	NaN	-10.4	40	NaN	NaN	3600154.592759489	36989	53.32619775739042	1962	411522.72561209835	11391	36.99947643979058	1910
r_pp_light_00369.fits	0	60224.619423692115	2460224.619423692	NaN	NaN	0	1.587643	NaN	-10.4	40	NaN	NaN	3650897.6122018904	37449	53.477435897435896	1950	408606.90958607406	10497	37.118974358974356	1950
r_pp_light_00370.fits	0	60224.61996744247	2460224.6199674425	NaN	NaN	0	1.58892	NaN	-10.4	40	NaN	NaN	3770988.511443437	37606	54.81227621483376	1955	410873.726105697	9970	37.99422268907563	1904
r_pp_light_00371.fits	0	60224.62051069457	2460224.6205106946	NaN	NaN	0	1.590184	NaN	-10.4	40	NaN	NaN	4031468.3640908143	37232	51.40206629358588	2323	411845.3147462175	8337	37.41150442477876	2260
