Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00092.fits	0	60224.468792465515	2460224.4687924655	NaN	NaN	0	1.276374	NaN	-10.4	40	NaN	NaN	3011816.592960313	1176.3369893909435	36260	28.43425	4000	331020.29143049056	175.14370964274403	11794	26.020578147966685	4082
r_pp_light_00093.fits	0	60224.46933677094	2460224.469336771	NaN	NaN	0	1.277221	NaN	-10.4	40	NaN	NaN	2959585.557493583	1161.4114418793024	38038	27.374692874692876	4070	324209.6212627071	171.74562263954365	11622	24.00244498777506	4090
r_pp_light_00094.fits	0	60224.46988057904	2460224.469880579	NaN	NaN	0	1.278053	NaN	-10.4	40	NaN	NaN	3353524.775540067	1272.931116674723	36914	29.343950680708964	3893	339666.2995162477	179.3626632700002	8885	25.367746797287115	3981
r_pp_light_00095.fits	0	60224.47042468749	2460224.4704246875	NaN	NaN	0	1.278904	NaN	-10.4	40	NaN	NaN	3361842.845166543	1276.0396826790454	36424	27.505048017729624	4061	347684.44909869775	183.53056800306416	9469	24.00292184075968	4107
r_pp_light_00096.fits	0	60224.470968414564	2460224.4709684146	NaN	NaN	0	1.279758	NaN	-10.4	40	NaN	NaN	3235472.9156125938	1240.1176343046811	38828	29.628803245436107	3944	342599.85957818275	180.8161333908157	10307	26.33752515090543	3976
r_pp_light_00097.fits	0	60224.47151215281	2460224.471512153	NaN	NaN	0	1.280614	NaN	-10.4	40	NaN	NaN	3559778.5988202323	1330.143293031926	36976	28.690994557149924	4042	339168.6550859233	179.10365028160672	8093	25.89788732394366	3976
r_pp_light_00098.fits	0	60224.47205690993	2460224.47205691	NaN	NaN	0	1.281457	NaN	-10.4	40	NaN	NaN	3463818.6202833313	1303.3990378926874	36363	28.908275685370228	3903	347361.79563739203	183.09871685921297	8295	25.49088575096277	3895
r_pp_light_00099.fits	0	60224.47260071756	2460224.4726007176	NaN	NaN	0	1.282319	NaN	-10.4	40	NaN	NaN	3157681.7710984102	1218.3059000762337	37140	27.89120080220607	3989	341944.9815346898	180.5663432650977	10375	25.630822596630328	4036
r_pp_light_00100.fits	0	60224.47314437525	2460224.4731443753	NaN	NaN	0	1.283183	NaN	-10.4	40	NaN	NaN	3066415.3490991895	1192.644617665565	35680	27.572749391727495	4110	305863.7947217329	162.54528213833913	8323	25.684730250481696	4152
r_pp_light_00101.fits	0	60224.47368857637	2460224.4736885764	NaN	NaN	0	1.284051	NaN	-10.4	40	NaN	NaN	3106371.4718285054	1203.2490614386818	35125	31.38675159235669	3925	297068.88576584664	157.87652520280264	8094	28.4234552332913	3965
r_pp_light_00102.fits	0	60224.47423237283	2460224.474232373	NaN	NaN	0	1.284902	NaN	-10.4	40	NaN	NaN	2996131.4750556326	1171.953158304502	35970	29.031628366691375	4047	297212.46220368956	157.9781886173627	7828	27.023349234245543	3983
r_pp_light_00103.fits	0	60224.47477570595	2460224.474775706	NaN	NaN	0	1.285774	NaN	-10.3	40	NaN	NaN	3246966.8328479473	1243.3666061895447	35427	29.61657374556513	3946	309887.1115153101	164.41671827912333	7136	26.324425574425575	4004
r_pp_light_00104.fits	0	60224.47531936364	2460224.4753193636	NaN	NaN	0	1.286647	NaN	-10.4	40	NaN	NaN	3334678.757573434	1268.6769100001943	35451	28.080311511316623	4109	292889.14986722183	155.74816607715243	6295	25.077235772357724	3936
r_pp_light_00105.fits	0	60224.47586302087	2460224.475863021	NaN	NaN	0	1.287526	NaN	-10.4	40	NaN	NaN	3294066.5441558966	1256.7922297093046	35659	29.08826479438315	3988	299919.8970968249	159.4582016209004	6467	24.521995576308676	4069
r_pp_light_00106.fits	0	60224.476407940034	2460224.47640794	NaN	NaN	0	1.288387	NaN	-10.4	40	NaN	NaN	3126958.491907766	1209.4186043386253	39180	27.596920747097425	3962	337608.8833756444	178.46162558701246	9184	24.372428991185114	4084
r_pp_light_00107.fits	0	60224.476951967925	2460224.476951968	NaN	NaN	0	1.28927	NaN	-10.3	40	NaN	NaN	3255137.926608476	1246.4820528149369	38417	27.089342073318768	4119	341941.0855157141	180.54158373187624	8030	25.49526892430279	4016
