Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00495.fits	0	60212.60892479168	2460212.6089247917	NaN	NaN	0	1.489211	NaN	-10.5	40	NaN	NaN	4022675.2093773535	39136	63.93088015912481	2011	441401.0275190628	11911	42.82026476578412	1964
r_pp_light_00496.fits	0	60212.60946908593	2460212.609469086	NaN	NaN	0	1.490456	NaN	-10.5	40	NaN	NaN	4116624.7325084284	39458	63.075180226570545	1942	437113.16130695166	11924	43.645194805194805	1925
r_pp_light_00497.fits	0	60212.610012847465	2460212.6100128475	NaN	NaN	0	1.491734	NaN	-10.5	40	NaN	NaN	3903987.449673139	38694	62.905426356589146	1935	438214.37457875	12532	43.33125	1920
r_pp_light_00498.fits	0	60212.61055815965	2460212.6105581596	NaN	NaN	0	1.492984	NaN	-10.5	40	NaN	NaN	4348651.492248414	36984	58.76741071428572	2240	434879.4732084441	9707	44.451039861351816	2308
r_pp_light_00499.fits	0	60212.61110266205	2460212.611102662	NaN	NaN	0	1.494239	NaN	-10.5	40	NaN	NaN	3941846.9375450383	42282	62.9136195018548	1887	442059.5061971219	12433	43.3533716675379	1913
r_pp_light_00500.fits	0	60212.6116470024	2460212.6116470024	NaN	NaN	0	1.495519	NaN	-10.5	40	NaN	NaN	4489281.858925341	39725	60.57881247330201	2341	434334.4366045193	8284	43.281154350677745	2287
r_pp_light_00501.fits	0	60212.61219347222	2460212.612193472	NaN	NaN	0	1.496782	NaN	-10.4	40	NaN	NaN	4676243.325658353	38319	59.64183629276743	2309	439321.3272985222	9057	43.466377440347074	2305
r_pp_light_00502.fits	0	60212.61273785913	2460212.612737859	NaN	NaN	0	1.498034	NaN	-10.4	40	NaN	NaN	4377870.184759194	40388	59.53468332615252	2321	438922.92523822386	10301	44.6107352277853	2217
r_pp_light_00503.fits	0	60212.613282905426	2460212.6132829054	NaN	NaN	0	1.499323	NaN	-10.5	40	NaN	NaN	4297850.06502908	37261	60.52431011826544	2283	438363.5838744489	9920	46.00577521101732	2251
r_pp_light_00504.fits	0	60212.613827488385	2460212.6138274884	NaN	NaN	0	1.500581	NaN	-10.5	40	NaN	NaN	4408119.351916798	36931	61.075712462781794	2351	442159.1521674166	10469	44.85301837270341	2286
r_pp_light_00505.fits	0	60212.6143715973	2460212.6143715973	NaN	NaN	0	1.501839	NaN	-10.5	40	NaN	NaN	4384500.911639071	38624	59.44152431011827	2283	440225.44547296484	9427	44.02647569444444	2304
r_pp_light_00506.fits	0	60212.6149158217	2460212.6149158217	NaN	NaN	0	1.503126	NaN	-10.4	40	NaN	NaN	4525208.036104535	40255	59.31552962298025	2228	438806.90065148287	8911	43.027185278126304	2391
r_pp_light_00507.fits	0	60212.61545993062	2460212.6154599306	NaN	NaN	0	1.504386	NaN	-10.5	40	NaN	NaN	4313868.850207955	40103	59.46606529209622	2328	439191.4225058608	10105	42.94427380430013	2279
r_pp_light_00508.fits	0	60212.61600535875	2460212.6160053588	NaN	NaN	0	1.50565	NaN	-10.5	40	NaN	NaN	4428658.301322182	37992	60.395609318996414	2232	438489.9339121012	9373	44.18849840255591	2191
r_pp_light_00509.fits	0	60212.61654883111	2460212.616548831	NaN	NaN	0	1.506938	NaN	-10.5	40	NaN	NaN	4480837.698727606	36647	59.80273007485689	2271	440273.99939105427	10143	43.13026315789474	2280
r_pp_light_00510.fits	0	60212.61709327577	2460212.6170932758	NaN	NaN	0	1.508203	NaN	-10.5	40	NaN	NaN	4712591.896789813	37157	55.98054635761589	2416	443301.8256724017	8451	43.29703372612759	2461
r_pp_light_00511.fits	0	60212.61763923615	2460212.617639236	NaN	NaN	0	1.509471	NaN	-10.5	40	NaN	NaN	4641023.812190594	38786	62.386112339672714	2261	439580.4157644981	8710	44.42693661971831	2272
r_pp_light_00512.fits	0	60212.61818349548	2460212.6181834955	NaN	NaN	0	1.51076	NaN	-10.5	40	NaN	NaN	4959575.895534473	37368	59.056822895064286	2411	437786.40435367526	7836	44.79766860949209	2402
r_pp_light_00513.fits	0	60212.61872802116	2460212.618728021	NaN	NaN	0	1.512031	NaN	-10.5	40	NaN	NaN	5006404.082051576	37620	60.60831960461285	2428	433865.6558393047	7589	46.50126903553299	2364
r_pp_light_00514.fits	0	60212.61927289376	2460212.6192728938	NaN	NaN	0	1.513296	NaN	-10.4	40	NaN	NaN	4930792.099668702	36814	59.91603694374475	2382	440545.7928701991	7658	45.47056451612903	2480
r_pp_light_00515.fits	0	60212.619817245286	2460212.6198172453	NaN	NaN	0	1.514597	NaN	-10.4	40	NaN	NaN	5194747.358249296	35460	60.43811881188119	2424	438834.91645717894	6766	46.48314144736842	2432
r_pp_light_00516.fits	0	60212.62036210671	2460212.6203621067	NaN	NaN	0	1.515867	NaN	-10.5	40	NaN	NaN	5259400.814924296	35785	60.45435333896872	2366	436773.1863324017	6174	44.98772226926334	2362
r_pp_light_00517.fits	0	60212.62090660911	2460212.620906609	NaN	NaN	0	1.517138	NaN	-10.5	40	NaN	NaN	4948486.877341767	37592	60.04558521560575	2435	438546.44470299466	7744	45.221662468513856	2382
r_pp_light_00518.fits	0	60212.621451273095	2460212.621451273	NaN	NaN	0	1.518438	NaN	-10.5	40	NaN	NaN	4949122.0270669265	37054	59.009319286871964	2468	436180.53171794704	6956	44.0961145194274	2445
r_pp_light_00519.fits	0	60212.62199519668	2460212.6219951967	NaN	NaN	0	1.519709	NaN	-10.4	40	NaN	NaN	4901576.732150838	38992	59.43401885175664	2334	438961.03492070327	7592	46.0072217502124	2354
r_pp_light_00520.fits	0	60212.622539745644	2460212.6225397456	NaN	NaN	0	1.52101	NaN	-10.4	40	NaN	NaN	4478508.631835234	37128	61.841900647948165	2315	438885.9528548439	8528	45.50215146299484	2324
r_pp_light_00521.fits	0	60212.62308583362	2460212.6230858336	NaN	NaN	0	1.522293	NaN	-10.5	40	NaN	NaN	5237095.271626417	38203	59.56168300653595	2448	437502.45874043874	6488	44.55094494658997	2434
r_pp_light_00522.fits	0	60212.62363003474	2460212.6236300347	NaN	NaN	0	1.523563	NaN	-10.5	40	NaN	NaN	5321491.503336625	37321	59.66680446465482	2419	437714.0694134486	6513	44.57337742868954	2419
r_pp_light_00523.fits	0	60212.62417406263	2460212.6241740626	NaN	NaN	0	1.524866	NaN	-10.5	40	NaN	NaN	5514165.146988103	36825	58.06599513720042	2879	433501.6550686852	5790	45.406659939455096	2973
