Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00026.fits	0	60229.32682163175	2460229.3268216318	NaN	NaN	0	1.281049	NaN	-10.4	60	NaN	NaN	5840122.816537907	1877.9490301386857	34817	0	4475	4408782.93291186	1550.9523993281102	34212	0	4480
r_pp_light_00027.fits	0	60229.32759759249	2460229.3275975925	NaN	NaN	0	1.284141	NaN	-10.4	60	NaN	NaN	6082641.867827102	1929.2409108741979	34606	0	4475	4608618.543555169	1599.4187684292592	33853	0	4478
r_pp_light_00028.fits	0	60229.32837337954	2460229.3283733795	NaN	NaN	0	1.287259	NaN	-10.3	60	NaN	NaN	5927092.242965065	1896.4823753125381	34816	0	4480	4514048.351468884	1576.5956927317113	33863	0	4475
r_pp_light_00029.fits	0	60229.32914987253	2460229.3291498725	NaN	NaN	0	1.290422	NaN	-10.4	60	NaN	NaN	6009321.031841221	1913.8218686417995	34768	0	4469	4477293.2433867445	1567.6718780734027	33903	0	4476
r_pp_light_00030.fits	0	60229.329926076345	2460229.3299260763	NaN	NaN	0	1.293616	NaN	-10.3	60	NaN	NaN	5951538.432601596	1901.6620687750712	34778	0	4480	4471242.245572711	1566.187770941875	33572	0	4473
r_pp_light_00031.fits	0	60229.33070506947	2460229.3307050695	NaN	NaN	0	1.296857	NaN	-10.3	60	NaN	NaN	5536488.532421821	1812.1981362216286	35416	0	4474	4297412.106187111	1523.4546217708726	33693	0	4472
r_pp_light_00032.fits	0	60229.33148135431	2460229.3314813543	NaN	NaN	0	1.300123	NaN	-10.4	60	NaN	NaN	5639110.354960277	1834.6272593819733	34946	0	4477	4380782.712660159	1544.0262064208289	33911	0	4466
r_pp_light_00033.fits	0	60229.33225714136	2460229.3322571414	NaN	NaN	0	1.303419	NaN	-10.3	60	NaN	NaN	5691224.489131349	1845.9412876508375	34810	0	4479	4321268.418658178	1529.3775828752782	34171	0	4475
r_pp_light_00034.fits	0	60229.3330334723	2460229.3330334723	NaN	NaN	0	1.306762	NaN	-10.4	60	NaN	NaN	5659086.458964919	1838.9636723335893	36127	0	4476	4332040.347211995	1532.0419853651445	34095	0	4475
r_pp_light_00035.fits	0	60229.33380931709	2460229.333809317	NaN	NaN	0	1.310133	NaN	-10.3	60	NaN	NaN	5201395.87615688	1737.519864544428	36153	0	4473	4072244.8461269396	1466.8728394913435	34441	0	4471
r_pp_light_00036.fits	0	60229.33458499983	2460229.334585	NaN	NaN	0	1.313496	NaN	-10.3	60	NaN	NaN	5248325.611328613	1748.1626243516307	36002	0	4485	4064705.2824424272	1464.9897854638014	34069	0	4481
r_pp_light_00037.fits	0	60229.33536098385	2460229.335360984	NaN	NaN	0	1.316942	NaN	-10.4	60	NaN	NaN	5592626.6254276885	1824.51299739533	35626	0	4481	4313336.250907886	1527.3989121053662	34285	0	4471
r_pp_light_00038.fits	0	60229.336136678234	2460229.3361366782	NaN	NaN	0	1.320428	NaN	-10.4	60	NaN	NaN	5429428.39972976	1788.5893333434271	36191	0	4474	4234737.029630058	1507.8156581452524	35191	0	4463
r_pp_light_00039.fits	0	60229.336913066916	2460229.336913067	NaN	NaN	0	1.323955	NaN	-10.4	60	NaN	NaN	5031384.4238387225	1698.7381794091139	38679	0	4476	3945145.387665551	1434.3171176216101	34926	0	4478
r_pp_light_00040.fits	0	60229.33768831007	2460229.33768831	NaN	NaN	0	1.327517	NaN	-10.3	60	NaN	NaN	5229061.882816921	1743.8030965932962	36190	0	4481	4049575.848472797	1461.1003541260764	35114	0	4472
r_pp_light_00041.fits	0	60229.33846746525	2460229.3384674652	NaN	NaN	0	1.33114	NaN	-10.3	60	NaN	NaN	5394358.263579724	1780.813024803873	34466	0	4476	4186317.311634114	1495.677511610149	35327	0	4461
r_pp_light_00042.fits	0	60229.33924315963	2460229.3392431596	NaN	NaN	0	1.334782	NaN	-10.3	60	NaN	NaN	5906360.553218673	1892.0738762354915	34839	0	4478	4562790.591545996	1588.3961493311697	34273	0	4479
r_pp_light_00043.fits	0	60229.34001959488	2460229.340019595	NaN	NaN	0	1.338469	NaN	-10.3	60	NaN	NaN	5399502.1710987585	1781.9488419911102	34334	0	4474	4233954.691858915	1507.6385365919764	34516	0	4468
r_pp_light_00044.fits	0	60229.340795347	2460229.340795347	NaN	NaN	0	1.342192	NaN	-10.3	60	NaN	NaN	6091837.619859423	1931.1949627923063	33506	0	4483	4555557.144968199	1586.6472576910937	33146	0	4478
r_pp_light_00045.fits	0	60229.34157224512	2460229.341572245	NaN	NaN	0	1.345906	NaN	-10.3	60	NaN	NaN	6001758.337851629	1912.295149269655	33883	0	4487	4467979.619500124	1565.3746966657973	33549	0	4468
r_pp_light_00046.fits	0	60229.342348588165	2460229.342348588	NaN	NaN	0	1.349714	NaN	-10.3	60	NaN	NaN	6065847.6874805	1925.718869141822	33776	0	4474	4498453.000084407	1572.8193198430763	33346	0	4477
r_pp_light_00047.fits	0	60229.3431251389	2460229.343125139	NaN	NaN	0	1.353569	NaN	-10.3	60	NaN	NaN	5851948.139078304	1880.4820248306091	33928	0	4477	4509576.95095194	1575.5114850795746	34165	0	4475
r_pp_light_00048.fits	0	60229.343901446555	2460229.3439014466	NaN	NaN	0	1.357456	NaN	-10.3	60	NaN	NaN	5773832.566291485	1863.7286377120772	33638	0	4471	4456892.805803485	1562.7090702190285	33109	0	4478
r_pp_light_00049.fits	0	60229.34467806714	2460229.344678067	NaN	NaN	0	1.361397	NaN	-10.4	60	NaN	NaN	5755613.626517422	1859.8361676709162	34249	0	4478	4468702.418185828	1565.572862615426	34456	0	4474
r_pp_light_00050.fits	0	60229.345453854185	2460229.345453854	NaN	NaN	0	1.365367	NaN	-10.4	60	NaN	NaN	5490189.070113179	1802.0459499234955	34798	0	4482	4265597.371575847	1515.5095879824084	34814	0	4462
r_pp_light_00051.fits	0	60229.34623284731	2460229.3462328473	NaN	NaN	0	1.369403	NaN	-10.4	60	NaN	NaN	5443293.569869204	1791.667230890465	34605	0	4476	4279363.185822197	1518.9384743844475	34013	0	4463
