Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	Source-Sky_C2	Source_SNR_C2	Peak_C2	Sky/Pixel_C2	N_Sky_Pixels_C2
r_pp_light_00001.fits	0	60192.37793671293	2460192.377936713	NaN	NaN	0	1.139193	NaN	-10.3	40	NaN	NaN	4341536.72162336	1459.4003917682398	36420	15.765044479330193	3822	423665.67711709236	199.53930185747922	7984	10.936681222707424	3664
r_pp_light_00002.fits	0	60192.378482361324	2460192.3784823613	NaN	NaN	0	1.13919	NaN	-10.3	40	NaN	NaN	4307357.72394199	1452.024223278798	35540	18.437265214124718	3993	428355.3830102341	201.91078050041898	8549	13.019879675647397	3823
r_pp_light_00003.fits	0	60192.379027766176	2460192.379027766	NaN	NaN	0	1.13919	NaN	-10.3	40	NaN	NaN	4624030.638964442	1528.344247728035	33697	19.805891238670696	3972	418992.9707476719	197.82499870415495	6692	15.102056555269924	3890
r_pp_light_00004.fits	0	60192.379572418984	2460192.379572419	NaN	NaN	0	1.139193	NaN	-10.3	40	NaN	NaN	4674491.46276407	1540.3775938627198	33202	17.15167548500882	3969	417604.69567544525	196.95224379781016	6874	12.403480589022758	3735
r_pp_light_00005.fits	0	60192.38011718774	2460192.3801171877	NaN	NaN	0	1.139198	NaN	-10.3	40	NaN	NaN	4937824.676116761	1602.5419332544227	34688	18.913788880724958	4083	410220.5772023918	193.7670478994544	5368	13.287102705542422	3807
r_pp_light_00006.fits	0	60192.38066270854	2460192.3806627085	NaN	NaN	0	1.139206	NaN	-10.3	40	NaN	NaN	4524831.020233661	1504.7285540522846	35088	20.40135372273753	3989	423884.2313278128	200.04373625046946	7249	15.547826086956523	3910
r_pp_light_00007.fits	0	60192.38120751176	2460192.3812075118	NaN	NaN	0	1.139216	NaN	-10.3	40	NaN	NaN	4631242.124448832	1530.5749936916454	34379	19.00246730816679	4053	421219.77417029813	198.89570203235348	7031	15.939563230066023	3938
r_pp_light_00008.fits	0	60192.38175237272	2460192.3817523727	NaN	NaN	0	1.139229	NaN	-10.3	40	NaN	NaN	4812976.287515934	1572.6898455131852	36027	19.455997971088003	3943	420405.15504819446	198.45253105199066	6748	14.002575991756826	3882
r_pp_light_00009.fits	0	60192.38229785906	2460192.382297859	NaN	NaN	0	1.139244	NaN	-10.3	40	NaN	NaN	4867015.192878927	1585.5743943824546	34360	19.2531328320802	3990	412113.48135438166	194.98831404954493	5930	15.1840672934191	4042
r_pp_light_00010.fits	0	60192.38284331048	2460192.3828433105	NaN	NaN	0	1.139262	NaN	-10.3	40	NaN	NaN	4899852.972028884	1593.9034376218563	35289	18.770336093521674	4106	410258.61807597824	193.37345520780644	5769	11.980720871751886	3579
r_pp_light_00011.fits	0	60192.38338817144	2460192.3833881714	NaN	NaN	0	1.139283	NaN	-10.3	40	NaN	NaN	4762515.179807549	1561.5505884519823	35048	19.22759812392002	4051	418120.41786131565	197.4591504376504	6610	14.973360655737705	3904
r_pp_light_00012.fits	0	60192.38393295137	2460192.3839329514	NaN	NaN	0	1.139306	NaN	-10.3	40	NaN	NaN	4775345.082078718	1564.1921440856916	35342	18.331409934771703	3986	414652.0790921276	195.35755763745746	6322	11.570114301644828	3587
r_pp_light_00013.fits	0	60192.3844785071	2460192.384478507	NaN	NaN	0	1.139331	NaN	-10.3	40	NaN	NaN	5039802.074330438	1625.8617810794826	36642	18.950319724545007	4066	414618.03803484945	195.72741115507645	5765	12.160168598524763	3796
r_pp_light_00014.fits	0	60192.38502334524	2460192.3850233452	NaN	NaN	0	1.13936	NaN	-10.3	40	NaN	NaN	4961896.98427178	1607.332089124188	35218	19.766338632349232	3963	414566.40849742765	195.63710019973095	5637	13.174594738240765	3763
r_pp_light_00015.fits	0	60192.3855682523	2460192.3855682523	NaN	NaN	0	1.139391	NaN	-10.3	40	NaN	NaN	4808332.694024258	1571.8606729768676	35961	18.312719959778782	3978	419026.61176066316	198.07369179513276	6517	15.112847222222221	4032
r_pp_light_00016.fits	0	60192.38611390069	2460192.3861139007	NaN	NaN	0	1.139424	NaN	-10.3	40	NaN	NaN	4669930.747399503	1539.492088131928	35695	18.415273271774396	4007	421503.75822787196	199.13804190553168	7011	15.341573033707865	4005
r_pp_light_00017.fits	0	60192.38665894698	2460192.386658947	NaN	NaN	0	1.13946	NaN	-10.3	40	NaN	NaN	4913194.945745061	1596.5728497888792	31636	19.790893343231872	4041	370985.29667889996	176.343146589143	4495	16.447566482689414	3986
r_pp_light_00018.fits	0	60192.38720377348	2460192.3872037735	NaN	NaN	0	1.139499	NaN	-10.3	40	NaN	NaN	5027819.217617448	1622.9741650963908	35238	18.647029702970297	4040	411186.05734999175	193.806053557344	5313	11.261645746164575	3585
r_pp_light_00019.fits	0	60192.387749340385	2460192.3877493404	NaN	NaN	0	1.13954	NaN	-10.3	40	NaN	NaN	4640574.5670748735	1532.4659385419484	34734	20.939635819406337	4009	420487.0389284003	198.74411144285432	7297	15.850716757291151	4046
r_pp_light_00020.fits	0	60192.388293715194	2460192.388293715	NaN	NaN	0	1.139583	NaN	-10.3	40	NaN	NaN	5205820.96973976	1663.0749287596818	33306	18.96568136272545	3992	403799.8254796566	191.18865222804303	5272	16.787478174108255	4009
r_pp_light_00021.fits	0	60192.388839143794	2460192.388839144	NaN	NaN	0	1.13963	NaN	-10.3	40	NaN	NaN	5018800.45509208	1620.3093104996562	34632	20.39574898785425	3952	408153.36701804254	193.05383105478245	5630	15.062389043875221	3943
r_pp_light_00022.fits	0	60192.38938474562	2460192.3893847456	NaN	NaN	0	1.139679	NaN	-10.3	40	NaN	NaN	4435125.639817153	1483.326787718834	33882	19.51304996271439	4023	425293.84296834463	200.44916457945803	8361	13.938278145695364	3775
r_pp_light_00023.fits	0	60192.38992957212	2460192.389929572	NaN	NaN	0	1.13973	NaN	-10.3	40	NaN	NaN	4853237.4802329065	1582.857449879657	35326	19.035881051855494	4069	417114.7642753773	197.19560985227432	5964	15.941337310464828	4023
r_pp_light_00024.fits	0	60192.39047460677	2460192.390474607	NaN	NaN	0	1.139784	NaN	-10.4	40	NaN	NaN	5260060.814704673	1675.1898631274964	34074	18.18003520241388	3977	396083.5715283717	187.29884060663218	4617	13.578764375501471	3739
r_pp_light_00025.fits	0	60192.39102010429	2460192.3910201043	NaN	NaN	0	1.139841	NaN	-10.3	40	NaN	NaN	5293866.338820813	1682.7239086820061	34758	19.109630374654262	3977	408750.4756930349	193.37923372854027	4931	15.538306958050741	3981
r_pp_light_00026.fits	0	60192.391564895865	2460192.391564896	NaN	NaN	0	1.1399	NaN	-10.3	40	NaN	NaN	4972278.514092987	1609.9615312948365	35158	19.057778889444723	3998	417631.8621395198	197.1696456786738	5839	14.663299663299663	3861
r_pp_light_00027.fits	0	60192.39211039385	2460192.392110394	NaN	NaN	0	1.139962	NaN	-10.3	40	NaN	NaN	5246274.425353353	1671.9585671073985	34520	19.210858585858585	3960	403072.39846116357	190.93339272929813	4871	16.278065630397236	4053
r_pp_light_00028.fits	0	60192.39265517378	2460192.392655174	NaN	NaN	0	1.140026	NaN	-10.3	40	NaN	NaN	5287739.643808933	1682.090788937035	34971	19.919795221843003	4102	407724.2906859913	192.88918394130243	4765	16.573084677419356	3968
r_pp_light_00029.fits	0	60192.4280681829	2460192.428068183	NaN	NaN	0	1.149736	NaN	-10.3	40	NaN	NaN	4121875.0814789603	1405.4206112226339	34288	27.93622967479675	3936	431187.69375240605	203.32941538428662	10655	23.90012610340479	3965
r_pp_light_00030.fits	0	60192.428613113705	2460192.4286131137	NaN	NaN	0	1.149971	NaN	-10.3	40	NaN	NaN	4435299.729804517	1482.1104567220093	35638	29.10958904109589	3869	428487.7894943717	202.0280884737293	8447	22.551512045105074	3902
r_pp_light_00031.fits	0	60192.42915816	2460192.42915816	NaN	NaN	0	1.150208	NaN	-10.3	40	NaN	NaN	4606261.488093031	1523.6194839208201	38493	29.051028179741053	3939	424877.53725163796	200.63838910729493	7131	23.399158624102945	4041
r_pp_light_00032.fits	0	60192.42970288219	2460192.429702882	NaN	NaN	0	1.150448	NaN	-10.3	40	NaN	NaN	4218047.640283214	1429.1953490904211	40129	28.454754601226995	3912	431213.88514940825	203.38139364680742	10254	22.122110552763818	3980
r_pp_light_00033.fits	0	60192.43024806725	2460192.4302480672	NaN	NaN	0	1.15069	NaN	-10.3	40	NaN	NaN	4183932.056920561	1420.689389893626	38030	28.982343909928353	3908	433131.1137887963	204.23585599887963	10686	22.286934673366833	3980
r_pp_light_00034.fits	0	60192.43079322949	2460192.4307932295	NaN	NaN	0	1.150935	NaN	-10.3	40	NaN	NaN	4018744.9121935703	1378.8226709905275	40071	28.089746934516043	3833	433851.0698764521	204.6527224182354	11931	22.91140806731007	4041
r_pp_light_00035.fits	0	60192.43133772025	2460192.4313377202	NaN	NaN	0	1.151183	NaN	-10.3	40	NaN	NaN	4008557.8956714426	1376.9657875232283	39670	26.516497461928935	3940	434509.940335586	205.03255460355996	11079	21.207099143206854	4085
r_pp_light_00036.fits	0	60192.43188298633	2460192.4318829863	NaN	NaN	0	1.151433	NaN	-10.3	40	NaN	NaN	4376889.656627557	1468.5912844718182	40080	27.98816120906801	3970	429127.94959749735	202.4363109970156	9077	22.922535211267604	3976
r_pp_light_00037.fits	0	60192.43242748873	2460192.4324274887	NaN	NaN	0	1.151686	NaN	-10.3	40	NaN	NaN	4053301.3270492107	1388.3661003513841	38934	27.34747474747475	3960	434279.7738317238	204.75236927127622	11557	23.00275965880582	3986
r_pp_light_00038.fits	0	60192.432972535025	2460192.432972535	NaN	NaN	0	1.151941	NaN	-10.3	40	NaN	NaN	4001775.400229118	1375.1068408207018	38734	28.103184713375796	3925	436426.4693362569	205.78214659210786	11601	22.550533896200644	4027
r_pp_light_00039.fits	0	60192.43351701414	2460192.433517014	NaN	NaN	0	1.152199	NaN	-10.3	40	NaN	NaN	4110169.4309048825	1401.5619870962787	38104	28.60437532946758	3794	428144.73729564325	201.90493497304104	10196	23.66012738853503	3925
r_pp_light_00040.fits	0	60192.43406211818	2460192.434062118	NaN	NaN	0	1.15246	NaN	-10.3	40	NaN	NaN	4343717.977667732	1460.704485583191	38141	28.458946843024705	4007	431651.39881265955	203.5237113309791	9144	22.417974683544305	3950
r_pp_light_00041.fits	0	60192.43460659729	2460192.4346065973	NaN	NaN	0	1.152723	NaN	-10.3	40	NaN	NaN	3966606.6658993317	1366.2971342084616	35231	27.79584073040832	3943	433447.3618227632	204.2191401963718	10823	22.705655526992288	3890
r_pp_light_00042.fits	0	60192.43515169015	2460192.43515169	NaN	NaN	0	1.152988	NaN	-10.3	40	NaN	NaN	4380091.9700229755	1468.3941220432496	37058	29.947987454260325	3826	431014.72991579154	203.2614842691598	9124	23.401209677419356	3968
r_pp_light_00043.fits	0	60192.435696956236	2460192.4356969562	NaN	NaN	0	1.153257	NaN	-10.3	40	NaN	NaN	4346668.082598442	1460.9257685366017	39867	28.339108280254777	3925	432853.11693351064	204.18733910469527	8868	21.981610337972167	4024
r_pp_light_00044.fits	0	60192.436241493095	2460192.436241493	NaN	NaN	0	1.153528	NaN	-10.3	40	NaN	NaN	3927134.662052646	1356.0305295826886	41396	27.63161933998465	3909	436068.2857753836	205.58134297997228	11628	23.854078323771514	4009
r_pp_light_00045.fits	0	60192.43678593775	2460192.4367859378	NaN	NaN	0	1.153801	NaN	-10.3	40	NaN	NaN	3860669.2270665783	1338.5998262390576	39213	28.05378020265004	3849	437489.25961144274	206.13135369275517	11705	21.595744680851062	3948
r_pp_light_00046.fits	0	60192.43733093748	2460192.4373309375	NaN	NaN	0	1.154077	NaN	-10.3	40	NaN	NaN	3864021.085622654	1340.0964723119168	39156	28.57612544258978	3954	438697.8154056202	206.6625785193965	13286	23.64567526555387	3954
r_pp_light_00047.fits	0	60192.43787533557	2460192.4378753356	NaN	NaN	0	1.154356	NaN	-10.4	40	NaN	NaN	4174839.7463463233	1419.0149131347864	37728	26.504885993485342	3991	432993.72758513136	204.16781337764104	10375	22.092327044025158	3975
r_pp_light_00048.fits	0	60192.438420359045	2460192.438420359	NaN	NaN	0	1.154637	NaN	-10.3	40	NaN	NaN	3962422.440419102	1365.1476903901296	38382	27.565173116089614	3928	433852.71253187273	204.72618834434547	12276	22.151151396374328	4082
r_pp_light_00049.fits	0	60192.43896535877	2460192.438965359	NaN	NaN	0	1.154921	NaN	-10.3	40	NaN	NaN	3763745.034135917	1314.565405078709	39905	28.447924434501616	4023	436551.81386681215	205.847497779476	12305	22.411706349206348	4032
r_pp_light_00050.fits	0	60192.43951040506	2460192.439510405	NaN	NaN	0	1.155208	NaN	-10.4	40	NaN	NaN	3755177.1328311693	1311.8263983559502	38336	28.643981716607414	3938	435669.3982777805	205.48116069339946	12225	23.60295930949445	4055
r_pp_light_00051.fits	0	60192.44005483808	2460192.440054838	NaN	NaN	0	1.155497	NaN	-10.3	40	NaN	NaN	4062958.236004186	1390.8475463556413	39162	27.92898514228154	3971	433710.4491591278	204.36356723715647	10662	22.599487836107553	3905
r_pp_light_00052.fits	0	60192.44059983827	2460192.4405998383	NaN	NaN	0	1.155788	NaN	-10.3	40	NaN	NaN	3941943.4458548124	1360.366296438864	39594	28.073694728953285	4003	435654.2954844277	205.3791044193098	12738	23.5716787590693	3997
r_pp_light_00053.fits	0	60192.4411444678	2460192.441144468	NaN	NaN	0	1.156083	NaN	-10.3	40	NaN	NaN	4034578.635581527	1383.421509376776	37860	27.569426751592356	3925	438468.76384319045	206.75285008104547	10904	21.899014778325125	4060
r_pp_light_00054.fits	0	60192.4416889702	2460192.44168897	NaN	NaN	0	1.156379	NaN	-10.3	40	NaN	NaN	4046186.0295935716	1386.767824773375	40648	26.864912280701756	3990	436598.7608569779	206.00089946876093	10790	22.40909090909091	4114
