2460180.4778292943, -17.7411
2460180.4781432175, -17.9297
2460180.4784577200, -17.8462
2460180.4787715049, -17.8513
2460180.4790852200, -17.9126
2460180.4793990515, -17.904
2460180.4797128472, -17.9258
2460180.4800265627, -17.7843
2460180.4803403593, -17.8111
2460180.4806541554, -17.7441
2460180.4809679980, -17.8862
2460180.4812818286, -17.8901
2460180.4815956717, -17.8611
2460180.4819094678, -17.9084
2460180.4822232639, -17.9527
2460180.4825369678, -18.0172
2460180.4828515970, -18.0342
2460180.4831653126, -18.0668
2460180.4834797457, -17.9231
2460180.4837942938, -17.9076
2460180.4841081365, -17.8671
2460180.4844220141, -18.2823
2460180.4847357292, -18.1596
2460180.4850494447, -17.9387
2460180.4853633563, -17.9045
2460180.4856779049, -17.8566
2460180.4859923380, -17.8108
2460180.4863062273, -17.8429
2460180.4866200234, -17.9718
2460180.4869346647, -18.0371
2460180.4872491439, -18.1239
2460180.4875634033, -18.2785
2460180.4878773843, -18.184
2460180.4881923846, -18.1892
2460180.4885062738, -17.9892
2460180.4888202082, -18.0674
2460180.4891350232, -18.1856
2460180.4894497455, -18.0824
2460180.4897635998, -18.0915
2460180.4900775696, -17.9952
