# JD_UT V-C err
2460179.574381 -2.646740 0.000863
2460179.574926 -2.646545 0.000718
2460179.575472 -2.624908 0.000705
2460179.576018 -2.727103 0.000726
2460179.578203 -2.651747 0.000746
2460179.578749 -2.617444 0.000702
2460179.579295 -2.818866 0.000718
2460179.579842 -2.658489 0.000711
2460179.580388 -2.724405 0.000749
2460179.580935 -2.716671 0.000744
2460179.581481 -2.713378 0.000737
2460179.582027 -2.852265 0.000828
2460179.582573 -2.814303 0.000890
