Constell,Number,GCVS,n_GCVS,OriginClass,Code1,SubCode11,SubCode12,ProcClass,Code2,SubCode21,SubCode22,CMP,n_OriginClass,CurveType,VarType,Max,MinI,A1,MinII,A2,dA,f_Max,flt,Period [d],Log10.P [d],u_Period,f_Period,DI,u_DI,dI,DII,dII,MinII-MinI,SpType,B_SpCode1,b_SpCode1,LumClass1,B_SpCode2,b_SpCode2,LumClass2,ChromActive,RAh,RAm,RAs,DE-,DEd,DEm,DEs
73,543,V543 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,98, # , EA  , ======= ,12,13.3,1.3,99.99,9.99,9.99, # , p  ,0.933366776,-0.0299, # , n ,180, # ,0,999,999,999, -----               ,0,0,0,0,0,0, q ,17,47,40.8,-,42,53,8
73,544,V544 Sco  , # ,unknown ,0,0,0, DW  ,1,4,0,   * , # , E   , ======= ,13.9,16.3,2.4,99.99,9.99,9.99, : , p  ,4.794700146,0.6808, # , n ,999, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,47,50,-,42,16,54
73,546,V546 Sco  , # ,unknown ,0,0,0, CWW ,3,3,2,43, # , EW  , ======= ,13.8,14.5,0.7,99.99,9.99,9.99, # , p  ,0.447037995,-0.3497, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,17,49,20.6,-,41,59,50
73,562,V562 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,54, # , EA  , ======= ,11.6,12.1,0.5,12.1,0.5,0, # , p  ,1.054996967,0.0233, # , n ,200, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,16,44,30.2,-,37,48,5
73,565,V565 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,91, # , EA  , ======= ,10.4,10.9,0.5,10.6,0.2,0.3, # , V  ,12.57900047,1.0996, # , n ,60, # ,0,999,999,999, B3                  ,230,0,0,0,0,0, q ,16,49,32.5,-,40,55,56
73,566,V566 Sco  , * ,unknown ,0,0,0, SA  ,2,1,0,72, # , EA  , ======= ,12.6,13.7,1.1,99.99,9.99,9.99, # , p  ,6.914820194,0.8398, # , n ,30, # ,10,999,999,999, F3                  ,430,0,0,0,0,0, q ,16,49,49.2,-,43,10,50
73,568,V568 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,98, # , EA  , ======= ,14.5,16,1.5,99.99,9.99,9.99, # , p  ,1.431946993,0.1559, # , n ,100, # ,40,999,999,999, -----               ,0,0,0,0,0,0, q ,16,49,45.8,-,39,4,29
73,569,V569 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,76, # , EA  , ======= ,10.7,11.5,0.8,11.4,0.7,0.1, # , p  ,1.047237992,0.02, # , n ,170, # ,999,999,999,999, A3                  ,330,0,0,0,0,0, q ,16,50,2.4,-,42,36,8
73,571,V571 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,56, # , EA  , ======= ,12.4,13.3,0.9,99.99,9.99,9.99, # , p  ,2.100399017,0.3223, # , n ,120, # ,0,999,999,999, -----               ,0,0,0,0,0,0, q ,16,52,17,-,38,16,22
73,573,V573 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,75, # , EA  , ======= ,13.7,14,0.3,99.99,9.99,9.99, # , p  ,3.050610066,0.4844, # , n ,80, # ,60,999,999,999, -----               ,0,0,0,0,0,0, q ,16,53,51.5,-,41,25,29
73,575,V575 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,66, # , EA  , ======= ,12.3,12.9,0.6,12.4,0.1,0.5, # , p  ,0.658939004,-0.1812, # , n ,160, # ,0,999,999,999, -----               ,0,0,0,0,0,0, q ,16,54,24.5,-,36,49,22
73,581,V581 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,67, # , EA  , ======= ,11.8,12.3,0.5,11.9,0.1,0.4, # , p  ,0.510999024,-0.2916, # , n ,190, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,16,56,18.7,-,37,57,55
73,583,V583 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,38, # , EA  , ======= ,12,12.8,0.8,99.99,9.99,9.99, # , p  ,0.994728029,-0.0023, # , n ,110, # ,0,999,999,999, -----               ,0,0,0,0,0,0, q ,16,57,1.5,-,37,17,38
73,584,V584 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,55, # , EB: , ======= ,12.8,13.7,0.9,13.1,0.3,0.6, # , p  ,0.592751026,-0.2271, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,16,57,8.9,-,37,46,26
73,585,V585 Sco  , * ,unknown ,0,0,0, SA  ,2,1,0,78, # , EA  , ======= ,14.6,15.6,1,99.99,9.99,9.99, # , p  ,1.978224039,0.2963, # , n ,70, # ,30,999,999,999, F4                  ,440,0,0,0,0,0, q ,16,57,13.3,-,39,3,38
73,586,V586 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,42, # , EA  , ======= ,12.4,12.8,0.4,99.99,9.99,9.99, # , p  ,0.955937028,-0.0196, # , n ,70, # ,40,999,999,999, -----               ,0,0,0,0,0,0, q ,16,57,32.2,-,41,18,36
73,588,V588 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,100, # , EA  , ======= ,14,16.5,2.5,99.99,9.99,9.99, : , p  ,3.111759901,0.493, # , n ,80, # ,20,999,999,999, -----               ,0,0,0,0,0,0, q ,16,57,49.8,-,40,30,0
73,589,V589 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,63, # , EA  , ======= ,12.8,13.8,1,99.99,9.99,9.99, # , p  ,2.614520073,0.4174, # , n ,110, # ,50,999,999,999, -----               ,0,0,0,0,0,0, q ,16,58,0.1,-,40,55,44
73,590,V590 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,62, # , EA  , ======= ,10.68,11.3,0.62,99.99,9.99,9.99, # , B  ,2.472820044,0.3932, # , n ,110, # ,999,999,999,999, B5                  ,250,0,0,0,0,0, q ,16,58,50.8,-,42,22,14
73,591,V591 Sco  , # ,unknown ,0,0,0, N   ,0,0,0,   # , L , EA  , ======= ,11.9,12.7,0.8,12.7,0.8,0, # , V  ,1.555369973,0.1918, # , n ,150, # ,0,999,999,999, -----               ,0,0,0,0,0,0, q ,16,58,53,-,35,5,39
73,592,V592 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,73, # , EB  , ======= ,12.8,13.8,1,13.3,0.5,0.5, # , p  ,0.780185998,-0.1078, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,16,59,28,-,42,48,25
73,593,V593 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,   * , # , EA  , ======= ,13.7,16,2.3,99.99,9.99,9.99, # , p  ,17.49780083,1.243, # , n ,100, # ,50,999,999,999, -----               ,0,0,0,0,0,0, q ,16,59,17.9,-,35,6,52
73,594,V594 Sco  , # ,SA      ,2,1,0, N   ,0,0,0,   # , # , EA  , ======= ,10.6,11.6,1,99.99,9.99,9.99, # , p  ,3.63293004,0.5603, # , n ,110, # ,10,999,999,999, F0                  ,400,0,0,0,0,0, q ,17,0,24.6,-,41,42,39
73,599,V599 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,65, # , EA  , ======= ,13.7,14.2,0.5,99.99,9.99,9.99, # , p  ,2.475399971,0.3936, # , n ,160, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,3,40.1,-,38,45,6
73,603,V603 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,56, # , EA  , ======= ,13.2,13.8,0.6,99.99,9.99,9.99, # , p  ,26.30890083,1.4201, # , n ,100, # ,40,999,999,999, -----               ,0,0,0,0,0,0, q ,17,5,34.8,-,39,47,34
73,604,V604 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,69, # , EA  , ======= ,12.1,12.4,0.3,99.99,9.99,9.99, # , p  ,1.537889957,0.1869, # , n ,120, # ,0,999,999,999, F8                  ,480,0,0,0,0,0, q ,17,6,12,-,40,1,33
73,606,V606 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,96, # , EA  , ======= ,11.7,12.4,0.7,12.3,0.6,0.1, # , V  ,2.68569994,0.4291, # , n ,80, # ,70,999,999,999, -----               ,0,0,0,0,0,0, q ,17,6,22.1,-,37,41,31
73,607,V607 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,61, # , EA  , ======= ,10.2,10.8,0.6,10.3,0.1,0.5, # , p  ,4.516570091,0.6548, # , n ,110, # ,0,999,999,999, B8                  ,280,0,0,0,0,0, q ,17,6,16.9,-,35,57,58
73,609,V609 Sco  , # ,unknown ,0,0,0, CWA ,3,3,1,48, # , EW  , ======= ,13.2,13.7,0.5,13.7,0.5,0, # , p  ,1.055047035,0.0233, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,17,6,33.9,-,36,53,45
73,610,V610 Sco  , # ,unknown ,0,0,0, N   ,0,0,0,   # , # , E   , ======= ,12.7,14.1,1.4,99.99,9.99,9.99, # , p  ,0,-9, # , n ,999, # ,999,999,999,999, -----               ,0,0,0,0,0,0, q ,17,6,47.8,-,39,52,35
73,611,V611 Sco  , * ,unknown ,0,0,0, DM  ,1,1,0,53, # , EA  , ======= ,13.5,14.2,0.7,13.7,0.2,0.5, # , p  ,3.900759935,0.5911, # , n ,120, # ,40,999,999,999, B5                  ,250,0,0,0,0,0, q ,17,7,15.5,-,36,16,47
73,612,V612 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,42, # , EA  , ======= ,12,12.6,0.6,99.99,9.99,9.99, # , p  ,1.062700033,0.0264, # , n ,100, # ,50,999,999,999, -----               ,0,0,0,0,0,0, q ,17,9,53,-,42,38,55
73,613,V613 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,52, # , EA  , ======= ,13.6,14.5,0.9,99.99,9.99,9.99, # , p  ,2.711790085,0.4333, # , n ,100, : ,40,999,999,999, -----               ,0,0,0,0,0,0, q ,17,11,48.6,-,37,54,17
73,616,V616 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,78, # , EA  , ======= ,12,12.5,0.5,12.4,0.4,0.1, # , p  ,0.844110012,-0.0736, # , n ,150, # ,999,999,999,999, F8                  ,480,0,0,0,0,0, q ,17,13,13.3,-,42,59,3
73,619,V619 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,52, # , EB  , ======= ,11.9,12.4,0.5,12.1,0.2,0.3, # , p  ,0.754620016,-0.1223, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,17,14,16.1,-,41,21,21
73,620,V620 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,79, # , EA  , ======= ,12.7,13.8,1.1,99.99,9.99,9.99, # , p  ,2.571190119,0.4101, # , n ,110, # ,20,999,999,999, -----               ,0,0,0,0,0,0, q ,17,14,4.4,-,37,58,28
73,621,V621 Sco  , # ,unknown ,0,0,0, SA  ,2,1,0,100, # , EA  , ======= ,12.3,15,2.7,99.99,9.99,9.99, # , p  ,6.687170029,0.8252, # , n ,80, # ,40,999,999,999, -----               ,0,0,0,0,0,0, q ,17,14,36.8,-,41,4,15
73,622,V622 Sco  , # ,unknown ,0,0,0, DM  ,1,1,0,98, # , EA  , ======= ,13.6,14.3,0.7,14.2,0.6,0.1, # , p  ,1.508520007,0.1786, # , n ,130, # ,0,999,999,999, -----               ,0,0,0,0,0,0, q ,17,14,53.4,-,42,29,15
73,625,V625 Sco  , # ,CW      ,3,3,0, N   ,0,0,0,   # , # , EW  , ======= ,13.1,13.5,0.4,13.5,0.4,0, # , p  ,0.406287998,-0.3912, # , n ,999, # ,0,999,0,999, -----               ,0,0,0,0,0,0, q ,17,17,13.1,-,42,34,18
73,626,V626 Sco  , # ,unknown ,0,0,0, CB  ,3,1,0,44, # , EA  , ======= ,11.4,11.8,0.4,99.99,9.99,9.99, # , p  ,1.033679962,0.0144, # , n ,110, # ,0,999,999,999, A7                  ,370,0,0,0,0,0, q ,17,17,11.2,-,40,17,25
