Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00031.fits	64984	60249.58844228042	2460249.5884422804	NaN	NaN	0	2.139678	NaN	-13.4	15	NaN	NaN	6041027.0693938	64984	57.0438892640108	2962
r_pp_light_00032.fits	65313	60249.58869814826	2460249.5886981483	NaN	NaN	0	2.142807	NaN	-13.4	15	NaN	NaN	6003234.907293737	65313	54.347503373819166	2964
r_pp_light_00033.fits	65411	60249.58895334508	2460249.588953345	NaN	NaN	0	2.145923	NaN	-13.4	15	NaN	NaN	6065190.208431809	65411	54.53333333333333	2910
r_pp_light_00034.fits	65210	60249.589209247846	2460249.589209248	NaN	NaN	0	2.149055	NaN	-13.5	15	NaN	NaN	6543692.464191751	65210	56.88588791357191	2962
r_pp_light_00035.fits	64120	60249.58946456062	2460249.5894645606	NaN	NaN	0	2.152201	NaN	-13.5	15	NaN	NaN	6516446.926171391	64120	55.95791245791246	2970
r_pp_light_00036.fits	61546	60249.58972004661	2460249.5897200466	NaN	NaN	0	2.155371	NaN	-13.5	15	NaN	NaN	6974272.258806949	61546	57.5863697705803	2964
r_pp_light_00037.fits	63267	60249.58997584507	2460249.589975845	NaN	NaN	0	2.15837	NaN	-13.5	15	NaN	NaN	7217666.843502316	63267	57.9312242090784	2908
r_pp_light_00038.fits	65535	60249.59023101861	2460249.5902310186	NaN	NaN	0	2.161538	NaN	-13.5	15	NaN	NaN	6454944.282730816	65535	57.118290258449306	3018
r_pp_light_00039.fits	62752	60249.590486308094	2460249.590486308	NaN	NaN	0	2.164702	NaN	-13.5	15	NaN	NaN	6747305.211898912	62752	59.41976980365606	2954
r_pp_light_00040.fits	64598	60249.59074149327	2460249.5907414933	NaN	NaN	0	2.16786	NaN	-13.5	15	NaN	NaN	7608148.277412875	64598	57.81186440677966	2950
r_pp_light_00041.fits	63288	60249.59099675948	2460249.5909967595	NaN	NaN	0	2.17104	NaN	-13.5	15	NaN	NaN	6884655.245336042	63288	56.87177792465301	3026
r_pp_light_00042.fits	63567	60249.59125258122	2460249.591252581	NaN	NaN	0	2.174104	NaN	-13.5	15	NaN	NaN	6616429.236736768	63567	58.6787979966611	2995
r_pp_light_00043.fits	63334	60249.59150783578	2460249.591507836	NaN	NaN	0	2.177313	NaN	-13.5	15	NaN	NaN	6593501.688570838	63334	58.631928310653834	3013
