Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Source_SNR_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00038.fit	58813	60180.36967827566	2460180.3696782757	NaN	NaN	0	1.072794	NaN	-10.2	15	NaN	NaN	15956809.09680498	3049.908952774859	58813	50.629723453662656	4737
r_pp_light_00039.fit	59094	60180.369933587965	2460180.369933588	NaN	NaN	0	1.072544	NaN	-10.2	15	NaN	NaN	15681402.494640764	3012.7372434935837	59094	52.17817947062621	4647
r_pp_light_00040.fit	58769	60180.37018897012	2460180.37018897	NaN	NaN	0	1.072295	NaN	-10.2	15	NaN	NaN	16227330.05566326	3085.9993255904915	58769	50.60787564766839	4825
r_pp_light_00041.fit	58436	60180.37044508103	2460180.370445081	NaN	NaN	0	1.072046	NaN	-10.2	15	NaN	NaN	15629461.535771895	3008.0149499898694	58436	50.36179116970077	4779
r_pp_light_00042.fit	59523	60180.37070030114	2460180.370700301	NaN	NaN	0	1.071799	NaN	-10.2	15	NaN	NaN	15525628.20072507	2994.658886756971	59523	51.38203418090871	4798
r_pp_light_00043.fit	58624	60180.37095572939	2460180.3709557294	NaN	NaN	0	1.071552	NaN	-10.3	15	NaN	NaN	16559119.64932652	3128.528492037021	58624	50.52004132231405	4840
r_pp_light_00044.fit	59746	60180.37121256953	2460180.3712125695	NaN	NaN	0	1.071305	NaN	-10.2	15	NaN	NaN	16592444.493604051	3133.542749505154	59746	50.974479379338504	4898
r_pp_light_00045.fit	59641	60180.37146803271	2460180.3714680327	NaN	NaN	0	1.071061	NaN	-10.2	15	NaN	NaN	16660272.183337357	3138.724659882339	59641	51.93034719245607	4666
r_pp_light_00046.fit	59422	60180.37172327563	2460180.3717232756	NaN	NaN	0	1.070818	NaN	-10.2	15	NaN	NaN	16900155.831863265	3169.9790453203314	59422	50.50814125607951	4729
r_pp_light_00047.fit	60409	60180.37197859958	2460180.3719785996	NaN	NaN	0	1.070575	NaN	-10.2	15	NaN	NaN	17304851.89984497	3220.9355094709204	60409	51.46313799621928	4761
r_pp_light_00048.fit	60498	60180.37223457219	2460180.372234572	NaN	NaN	0	1.070333	NaN	-10.2	15	NaN	NaN	17078606.26050215	3191.3592222126117	60498	49.64471143531431	4661
r_pp_light_00049.fit	60881	60180.37249069475	2460180.3724906947	NaN	NaN	0	1.070092	NaN	-10.2	15	NaN	NaN	16249076.591318361	3086.9637639033836	60881	50.88598170602	4701
r_pp_light_00050.fit	60847	60180.37274585664	2460180.3727458566	NaN	NaN	0	1.069852	NaN	-10.2	15	NaN	NaN	17914320.30938887	3295.05648443573	60847	49.859454855195914	4696
