Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source-Sky_T1	Peak_T1	Sky/Pixel_T1	N_Sky_Pixels_T1
r_pp_light_00165.fits	56852	60249.56128256954	2460249.5612825695	NaN	NaN	0	1.849224	NaN	-13	15	NaN	NaN	5649148.022148105	56852	42.379809681423254	2417
r_pp_light_00166.fits	55588	60249.561537778005	2460249.561537778	NaN	NaN	0	1.851499	NaN	-13	15	NaN	NaN	6068520.634346905	55588	42.15816528272044	2529
r_pp_light_00167.fits	61839	60249.56179316016	2460249.56179316	NaN	NaN	0	1.853889	NaN	-13	15	NaN	NaN	5539079.042279253	61839	41.970379146919434	2532
r_pp_light_00168.fits	60299	60249.56204827549	2460249.5620482755	NaN	NaN	0	1.856299	NaN	-13	15	NaN	NaN	5478574.65311687	60299	40.46239210850801	2433
r_pp_light_00169.fits	62440	60249.56230437523	2460249.562304375	NaN	NaN	0	1.858715	NaN	-13	15	NaN	NaN	5476667.931227491	62440	41.35149313962873	2478
r_pp_light_00170.fits	59623	60249.56255968753	2460249.5625596875	NaN	NaN	0	1.861122	NaN	-13	15	NaN	NaN	5655800.746607706	59623	39.49435138293728	2567
r_pp_light_00171.fits	61492	60249.56281561358	2460249.5628156136	NaN	NaN	0	1.863541	NaN	-13	15	NaN	NaN	6008561.0631768415	61492	41.989344262295084	2440
r_pp_light_00172.fits	63175	60249.563070521224	2460249.563070521	NaN	NaN	0	1.865964	NaN	-13	15	NaN	NaN	5839187.867466012	63175	41.074253430185635	2478
r_pp_light_00173.fits	57473	60249.56332567148	2460249.5633256715	NaN	NaN	0	1.868278	NaN	-13	15	NaN	NaN	5930022.907943105	57473	40.99801744647105	2522
r_pp_light_00174.fits	59503	60249.56358075235	2460249.5635807524	NaN	NaN	0	1.870706	NaN	-13	15	NaN	NaN	6080841.708774112	59503	42.55714839209609	2581
r_pp_light_00175.fits	59789	60249.56383607676	2460249.5638360768	NaN	NaN	0	1.873152	NaN	-13	15	NaN	NaN	6092508.674809604	59789	42.06785137318255	2476
r_pp_light_00176.fits	61426	60249.5640916205	2460249.5640916205	NaN	NaN	0	1.875614	NaN	-13	15	NaN	NaN	5814708.407105468	61426	41.57903357903358	2442
r_pp_light_00177.fits	0	60249.56434746552	2460249.5643474655	NaN	NaN	0	1.87806	NaN	-13.1	15	NaN	NaN	5826206.7896904545	53058	41.352917505030184	2485
r_pp_light_00178.fits	57205	60249.56460259296	2460249.564602593	NaN	NaN	0	1.880522	NaN	-13.1	15	NaN	NaN	6228377.482369618	57205	41.05175819834058	2531
r_pp_light_00179.fits	0	60249.5648584608	2460249.564858461	NaN	NaN	0	1.882997	NaN	-13.1	15	NaN	NaN	6209685.770973526	49622	41.54713196951464	2493
r_pp_light_00180.fits	56761	60249.565114259254	2460249.5651142593	NaN	NaN	0	1.885478	NaN	-13.1	15	NaN	NaN	6085696.406231382	56761	40.78224186420249	2489
r_pp_light_00181.fits	60843	60249.565369780175	2460249.56536978	NaN	NaN	0	1.887842	NaN	-13.1	15	NaN	NaN	5871495.8033707915	60843	41.63268608414239	2472
r_pp_light_00182.fits	58158	60249.56562515069	2460249.5656251507	NaN	NaN	0	1.890339	NaN	-13.1	15	NaN	NaN	5717007.020463906	58158	41.34419713831478	2516
