2460180.465254,-5.321533,0.002608,
2460180.465569,-5.237431,0.002496,
2460180.465883,-5.243963,0.002262,
2460180.466196,-5.245069,0.002535,
2460180.466510,-5.240207,0.002517,
2460180.466824,-5.198757,0.002474,
2460180.467138,-5.271586,0.002177,
2460180.467452,-5.267682,0.002359,
2460180.467766,-5.328998,0.002559,
2460180.468080,-5.318480,0.002429,
2460180.468393,-5.245532,0.002409,
2460180.468707,-5.345357,0.002363,
2460180.469021,-5.342231,0.002557,
2460180.469334,-5.280821,0.002389,
2460180.469648,-5.200960,0.002510,
2460180.469962,-5.330852,0.002500,
2460180.470277,-5.303536,0.002566,
2460180.470591,-5.364545,0.002441,
2460180.470905,-5.406373,0.002600,
2460180.471219,-5.283748,0.002444,
2460180.471532,-5.294798,0.002646,
2460180.471846,-5.269638,0.002621,
2460180.472160,-5.103095,0.002317,
2460180.472475,-5.136681,0.002436,
2460180.472788,-5.240336,0.002484,
2460180.473103,-5.296140,0.002561,
2460180.473417,-5.211071,0.002394,
2460180.473730,-5.288970,0.002585,
2460180.474044,-5.198056,0.002462,
2460180.474358,-5.253310,0.002560,
2460180.474672,-5.144908,0.002539,
2460180.474985,-5.156541,0.002496,
2460180.475300,-5.159801,0.002427,
2460180.475613,-5.220135,0.002400,
2460180.475927,-5.184507,0.002527,
2460180.476241,-5.112877,0.002522,
2460180.476556,-5.379713,0.002784,
2460180.476869,-5.460123,0.002706,
2460180.477184,-5.405864,0.002580,
2460180.477498,-5.292119,0.002577,
