# JD_UT V-C err
2460179.574381 -2.722761 0.001442
2460179.574926 -2.707308 0.001115
2460179.575472 -2.695521 0.001073
2460179.576018 -2.793748 0.001126
2460179.578203 -2.723776 0.001137
2460179.578749 -2.672175 0.001122
2460179.579295 -2.860325 0.001175
2460179.579842 -2.724797 0.001096
2460179.580388 -2.786511 0.001216
2460179.580935 -2.785076 0.001161
2460179.581481 -2.777551 0.001237
2460179.582027 -2.909428 0.001283
2460179.582573 -2.881608 0.001530
